"Rule No.","Description","From Pick up Date","To Pick up Date","LOR","SIPP","Comparison SIPP","Comp. Set","Locations","Response","Amount","Tolerance","Min","Max/default","User ID","Pick up Day(s)","Status"
"4","Example Alert - CCAR","11/04/04","1/1/71","1","CCAR","CCAR","ZR, 01","LAX","1","3.00","0","18.00","100.00","3","2,3,4,5,6,7","E"
"12","Example Alert - CCAR","11/04/04","1/1/71","1","CCAR","CCAR","ZR","LAX","0","3.00","0","18.00","100.00","3","1,2,3,4,5,6,7","E"
"13","Example Alert - CCAR","11/04/04","1/1/71","1","CCAR","CCAR","ZR","LAX","0","3.00","0","18.00","100.00","3","1,2,3,4,5,6,7","E"
"20","Set Thrify $1 less than the lowest competitor","11/04/04","1/1/71","1","CCAR","CCAR","XX","ABQ","1","3.00","0","18.00","100.00","3","1,2,3,4,5,6,7","E"
"21","Set Alamo $1 less than the lowest competitor","11/04/04","1/1/71","2","CCAR","CCAR","XX","ANC","1","1.00","0","18.00","100.00","3","1,2,3,4,5,6,7","D"
"101","CCAR Daily $1 < Highest Competitor","04/06/05","1/1/71","1","CCAR","CCAR","AL, ZR, ZT","LAX","7","1.00","0","20.00","0","3","1,2,3,4,5,6,7","D"
"4194","CTCJ - BSS TRV Daily Same as lowest","03/06/06","1/1/71","1","CCAR, ECAR, FCAR","CCAR","AD, AL, ZI, ZD","BQK","0","0.00","0","","0","3","2,3,4,5,6,7,1","E"
"5461","Avis or Budget is lower than competitors","05/22/06","1/1/71","2","All","All","XX","LAX","0","0.00","0","0","1","3","2,3,4,5,6,7,1","D"
"5472","Avis is lowest","05/22/06","1/1/71","2","All","All","XX","LAX","3","10.00","0","99,999.00","44.00","3","2,3,4,5,6,7,1","E"
"5473","Budget is lowest","05/22/06","1/1/71","2","All","All","XX","LAX","3","10.00","0","0","0","3","2,3,4,5,6,7,1","E"
"5475","Avis is less than Budget","05/22/06","1/1/71","2","All","All","ZD","LAX","3","10.00","0","0","0","3","2,3,4,5,6,7,1","E"
"7723","GSP - $1.25 Less than Enterprise - Demo","01/25/07","1/1/71","2","All","All","ET","GSP","1","1.25","0","00",0"","3","2,3,4,5,6,7,1","E"
